文本序号,用户名,版本号,时间,成员角色,text,issue_topic,score,tag
0,freemandealer,1.2.2-rc01,2023-02-27 20:10:24,CONTRIBUTOR,Good to see this & 【Welcome】,[Good First Issue] Doris' Future,1,welcome;do
1,kpfly,1.2.2-rc01,2023-02-27 20:21:27,NONE,Good Job!,[Good First Issue] Doris' Future,1,do
2,FabianCarrasco,1.2.2-rc01,2023-02-28 13:40:23,NONE,Hi! This is my first time 【contributing】 to open source. Can I have a 【task】 that I can work on in C++?,[Good First Issue] Doris' Future,-1,contributing;task;do
3,morningman,1.2.2-rc01,2023-02-28 14:47:44,CONTRIBUTOR," Hi! This is my first time 【contributing】 to open source. Can I have a 【task】 that I can work on in C++?【Welcome】, in the 【task】 list, the module with `BE` is mainly related to C++, you can pick one.",[Good First Issue] Doris' Future,-1,welcome;contributing;task;do
4,FabianCarrasco,1.2.2-rc01,2023-02-28 15:32:41,NONE,Can I 【help】 with number 25?,[Good First Issue] Doris' Future,0,help;do
5,Yukang-Lian,1.2.2-rc01,2023-02-28 15:40:15,COLLABORATOR AUTHOR," Can I 【help】 with number 25?I am 【sorry】, this 【task】 has been 【selected】 just now. I haven't had time to update yet. Maybe you could choose another one.",[Good First Issue] Doris' Future,-1,help;sorry;select;task;do
6,FabianCarrasco,1.2.2-rc01,2023-02-28 16:12:39,NONE,Okay I can go with 24 then,[Good First Issue] Doris' Future,0,do
7,Yukang-Lian,1.2.2-rc01,2023-02-28 19:38:33,COLLABORATOR AUTHOR, Okay I can go with 24 thenThat's great! ,[Good First Issue] Doris' Future,1,do
8,WuWQ98,1.2.2-rc01,2023-02-28 22:01:36,CONTRIBUTOR,I am 【new】 to the open 【community】 and have some knowledge of Java and C++. Can I 【select】 a 【task】? ,[Good First Issue] Doris' Future,0,community;select;task;do;new
9,Yukang-Lian,1.2.2-rc01,2023-02-28 23:38:32,COLLABORATOR AUTHOR, I am 【new】 to the open 【community】 and have some knowledge of Java and C++. Can I 【select】 a 【task】?Of course you can! 【Welcome】 to doris 【community】!,[Good First Issue] Doris' Future,1,welcome;community;select;task;do;new
10,WuWQ98,1.2.2-rc01,2023-03-01 00:22:53,CONTRIBUTOR,  I am 【new】 to the open 【community】 and have some knowledge of Java and C++. Can I 【select】 a 【task】?  Of course you can! 【Welcome】 to doris community  I am new to the open community and have some knowledge of Java and C++. Can I select a task?  Of course you can! 【Welcome】 to doris community!I want to select No.4 task.thanks!,[Good First Issue] Doris' Future,1,thanks;welcome;community;select;task;do;new;want
11,Yukang-Lian,1.2.2-rc01,2023-03-01 09:15:10,COLLABORATOR AUTHOR,"   I am 【new】 to the open 【community】 and have some knowledge of Java and C++. Can I 【select】 a 【task】?      Of course you can! 【Welcome】to doris community    I am 【new】 to the open community and have some knowledge of Java and C++. Can I 【select】 a task?      Of course you can! 【Welcome】 to doris community!  I 【want】 to select No.4 【task】.【thanks】!All right, I will update that table.",[Good First Issue] Doris' Future,1,thanks;welcome;community;select;task;do;new;want
12,freemandealer,1.2.2-rc01,2023-03-01 11:47:48,CONTRIBUTOR," Okay I can go with 24 then@FabianCarrasco  【Sorry】, this 【task】 is 【assigned】 to another contributor.",[Good First Issue] Doris' Future,0,assign;sorry;task;do
13,freemandealer,1.2.2-rc01,2023-03-01 11:52:32,CONTRIBUTOR,"Hi everyone, this is a gentle reminder: before getting your hand dirty, do check the issue page to see if it is assigned to someone already. If there is no assignee, reply 'please 【assign】 to me' to claim it. 【Thanks】!",[Good First Issue] Doris' Future,1,assign;thanks;do
14,WuWQ98,1.2.2-rc01,2023-03-01 12:12:05,CONTRIBUTOR,"    I am [new】 to the open 【community】 and have some knowledge of Java and C++. Can I select a 【task】?         Of course you can! 【Welcome】 to doris community        I am 【new】 to the open community and have some knowledge of Java and C++. Can I select a task?         Of course you can! Welcome to doris 【community】!      I 【want】 to 【select】 No.4 【task】.【thanks】!  All right, I will update that table.May I ask how I can contact the 【mentor】? I couldn't find his contact information on the GitHub profile. Can you provide me with some guidance on how to reach out to him?",[Good First Issue] Doris' Future,1,thanks;welcome;community;select;task;do;new;mentor;want
15,Yukang-Lian,1.2.2-rc01,2023-03-01 13:53:38,COLLABORATOR AUTHOR,"     I am 【new】 to the open 【community】 and have some knowledge of Java and C++. Can I select a 【task】?            Of course you can! 【Welcome】 to doris community           I am 【new】 to the open community and have some knowledge of Java and C++. Can I select a task?            Of course you can! Welcome to doris 【community】!         I 【want】 to 【select】 No.4 【task】.【thanks】!      All right, I will update that table.  May I ask how I can contact the 【mentor】? I couldn't find his contact information on the GitHub profile. Can you provide me with some guidance on how to reach out to him?you can add my wechat `abmdocrtlyk`.",[Good First Issue] Doris' Future,1,thanks;welcome;community;select;task;do;new;mentor;want
16,ChaseHuangxu,1.2.2-rc01,2023-03-01 15:50:20,CONTRIBUTOR,"【Task】 22, ""Add Sqlancer to Doris"", please 【assign】 to me. This 【task】 may take a little time, but please don't worry about it.",[Good First Issue] Doris' Future,1,assign;task;do
17,Yukang-Lian,1.2.2-rc01,2023-03-01 15:56:45,COLLABORATOR AUTHOR," 【Task】 22, ""Add Sqlancer to Doris"", please 【assign】 to me. This 【task】 may take a little time, but please don't worry about it.Done, look forward to your contribution. Have fun in doris!",[Good First Issue] Doris' Future,1,assign;task;do
18,Yukang-Lian,1.2.2-rc01,2023-03-01 16:15:38,COLLABORATOR AUTHOR," Okay I can go with 24 then@FabianCarrasco I'm very 【sorry】, because our event has just started, there is some confusion. Now we have sorted out the 【tasks】, you can choose a 【task】 to start!",[Good First Issue] Doris' Future,-1,sorry;task;do
19,gitccl,1.2.2-rc01,2023-03-01 23:30:18,COLLABORATOR,"Hi, I'd 【like】 to 【do】 【task】29: 【support】 `arrayconcat` function.",[Good First Issue] Doris' Future,1,support;like;task;do
20,raspberry-hu,1.2.2-rc01,2023-03-01 23:34:48,NONE,I 【want】 to 【do】 【task】 30: Support arraycontainsall function. Thank you！ 1094091844@qq.com,[Good First Issue] Doris' Future,1,support;task;do;want
21,wzymumon,1.2.2-rc01,2023-03-01 23:35:53,CONTRIBUTOR,"Hi, I'm 【new】 here. I'd 【like】 to 【do】 【task】 33: [array function] Support arraycount function.",[Good First Issue] Doris' Future,1,support;like;task;do;new
22,Yukang-Lian,1.2.2-rc01,2023-03-01 23:39:10,COLLABORATOR AUTHOR," I 【want】 to 【do】 【task】 30: 【support】 arrayconcat function. Thank you！ [1094091844@qq.com](mailto:1094091844@qq.com)thanks for your 【passion】, but task 30 is `arraycontainsall function`, you mean this?",[Good First Issue] Doris' Future,1,support;passion;task;do;want
23,Yukang-Lian,1.2.2-rc01,2023-03-01 23:40:28,COLLABORATOR AUTHOR," Hi, I'd 【like】 to 【do】 【task】 29: support `arrayconcat` function.all right.",[Good First Issue] Doris' Future,1,support;like;task;do
24,Yukang-Lian,1.2.2-rc01,2023-03-01 23:40:48,COLLABORATOR AUTHOR," Hi, I'm 【new】 here. I'd 【like】 to 【do】 【task 】33: [array function] 【Support】 arraycount function.okk, have fun here.",[Good First Issue] Doris' Future,1,support;like;task;do;new
25,raspberry-hu,1.2.2-rc01,2023-03-01 23:41:56,NONE,"  I 【want】 to 【do】 【task】 30: support arrayconcat function. Thank you！ [1094091844@qq.com](mailto:1094091844@qq.com)  thanks for your 【passion】, but task 30 is `arraycontainsall function`, you mean this?Yes, thank you !",[Good First Issue] Doris' Future,1,support;thanks;passion;task;do;want
26,Yukang-Lian,1.2.2-rc01,2023-03-01 23:48:09,COLLABORATOR AUTHOR,"Hey guys, if you can't reach the 【mentor】, you can contact my WeChat `abmdocrtlyk`. I hope you all have fun here.",[Good First Issue] Doris' Future,1,do;mentor
27,gitccl,1.2.2-rc01,2023-03-01 23:48:51,COLLABORATOR,"  Hi, I'd 【like】 to 【do】 【task】29: 【support】 `arrayconcat` function.  all right.I create an issue of this task: 17307 ",[Good First Issue] Doris' Future,1,support;like;task;do
28,Yukang-Lian,1.2.2-rc01,2023-03-01 23:50:17,COLLABORATOR AUTHOR,"   Hi, I'd 【like】 to 【do】 【task】 29:【support】 `arrayconcat` function.      all right.  I create an issue of this task: 17307Done.",[Good First Issue] Doris' Future,1,support;like;task;do
29,raspberry-hu,1.2.2-rc01,2023-03-02 00:22:02,NONE,"  I 【want】 to 【do】 【task】 30: support arrayconcat function. Thank you！ [1094091844@qq.com](mailto:1094091844@qq.com)  thanks for your 【passion】, but 【task】 30 is `arraycontainsall function`, you mean this?【Thank】 you! 17310 ",[Good First Issue] Doris' Future,1,support;thanks;passion;task;do;want
30,yanchaomei,1.2.2-rc01,2023-03-02 00:59:09,NONE,"Hi, I'd 【like】 to 【do】 【task】 39:  【Support】 arrayresize function. 【thank】 you!",[Good First Issue] Doris' Future,1,support;like;task;do
31,Yukang-Lian,1.2.2-rc01,2023-03-02 01:11:16,COLLABORATOR AUTHOR," Hi, I'd 【like】 to 【do】 【task】 39: 【Support】 arrayresize function. thank you!hope you could have fun.",[Good First Issue] Doris' Future,1,support;like;task;do
32,wq765416999,1.2.2-rc01,2023-03-02 09:05:02,NONE,请问20有人选吗，如果可以，我【想】【尝试】一下,[Good First Issue] Doris' Future,1,try;like;do
33,Yukang-Lian,1.2.2-rc01,2023-03-02 09:08:54,COLLABORATOR AUTHOR, 请问20有人选吗，如果可以，我【想】【尝试】一下Of course you can！,[Good First Issue] Doris' Future,1,try;like;do
