文本序号,用户名,版本号,时间,成员角色,text,issue_topic,score,tag
0,Bkengs,3.6.2,2017-07-13 19:46:19,NONE,"I have the same problem recently , i solved it by set the series's `data = null` which you do not want. Also you can try it `setOption(option, true)`",Problems when updating chart through echartsInstance.setOption(),-1,problem;try;do;want
1,jeffrey-roosendaal,3.6.2,2017-07-13 19:55:11,NONE AUTHOR,"Thanks for your suggestions!Setting `data = null` on all the previous series may lead to a lot of code rewriting on my part, which is not my prefered option.And, using `setOption(option, true)`, is the same as calling `refresh()`, which removes the transition animations, which is what I like so much about ECharts. But for now, I'll go with `setOption(option, true)` when changing data, until the ECharts team comes with a solution or fix. Thanks!",Problems when updating chart through echartsInstance.setOption(),2,problem;thanks;like
2,sorenhoyer,3.6.2,2018-03-08 06:35:43,NONE,"This is still a problem. And a very annoying one. I'd call it a bug rather than an enhancement, since it's a very big problem when dealing with realtime data (calling setOption frequently) and building the chart from data in React. :)",Problems when updating chart through echartsInstance.setOption(),-2,problem
3,skraemer-eis,3.6.2,2018-03-08 20:26:11,NONE,I have the same problems and I agree with @sorenhoyer: I would also call it a bug. It should be possible to delete series with setOptions,Problems when updating chart through echartsInstance.setOption(),-1,problem
4,anasanzari,3.6.2,2018-03-09 22:02:29,NONE,+1,Problems when updating chart through echartsInstance.setOption(),0,problem
5,tehZevo,3.6.2,2018-04-15 22:05:13,NONE,+1,Problems when updating chart through echartsInstance.setOption(),0,problem
6,pchaganti,3.6.2,2018-05-12 23:57:06,NONE,👍 ,Problems when updating chart through echartsInstance.setOption(),0,problem
7,pchaganti,3.6.2,2018-05-13 00:00:26,NONE,setOption() is still leaving the old data on the chart BTW.,Problems when updating chart through echartsInstance.setOption(),0,problem
8,ghost,3.6.2,2018-06-26 06:51:26,NONE,+1,Problems when updating chart through echartsInstance.setOption(),0,problem
9,sys4soft,3.6.2,2018-06-30 00:45:19,NONE,"Until this is solved, I've come with the radical solution of clearing the chart and ""recreate"" it again.Not a problem for me, since my char is only updated after I submit a form in the same page and the graphic only comes visible after a success ajax call.Basically:All echart construction inside a function (EchartConstruction);When ajax is called and have a success return: [instance].clear() and execute EchartConstruction functionThen, set the axis and series.",Problems when updating chart through echartsInstance.setOption(),1,visible;problem
